qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,ara-Arab-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:16:422:2:11,11,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,Beirut,بيروت,LB11,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:21,21,1603:16:422:0,1603:16:422:1:8,1603:16:422:2:21,Baalbek,بعلبك,LB21,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:22,22,1603:16:422:0,1603:16:422:1:8,1603:16:422:2:22,El Hermel, الهرمل,LB22,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:23,23,1603:16:422:0,1603:16:422:1:2,1603:16:422:2:23,Rachaya,راشيا,LB23,Bekaa,البقاع,LB2,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:24,24,1603:16:422:0,1603:16:422:1:2,1603:16:422:2:24,West Bekaa,البقاع الغربي,LB24,Bekaa,البقاع,LB2,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:25,25,1603:16:422:0,1603:16:422:1:2,1603:16:422:2:25,Zahle,زحلة,LB25,Bekaa,البقاع,LB2,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:31,31,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:31,Aley,عاليه,LB31,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:32,32,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,Baabda,بعبدا,LB32,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:33,33,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:33,Chouf, الشوف,LB33,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:34,34,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,Jbeil,جبيل,LB34,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:35,35,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,Kesrwane, كسروان,LB35,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:36,36,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:36,El Meten,المتن,LB36,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:41,41,1603:16:422:0,1603:16:422:1:4,1603:16:422:2:41,Bent Jbeil,بنت جبيل,LB41,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:42,42,1603:16:422:0,1603:16:422:1:4,1603:16:422:2:42,Hasbaya,حاصبيا,LB42,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:43,43,1603:16:422:0,1603:16:422:1:4,1603:16:422:2:43,Marjaayoun,مرجعيون,LB43,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:44,44,1603:16:422:0,1603:16:422:1:4,1603:16:422:2:44,El Nabatieh,النبطية,LB44,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:51,51,1603:16:422:0,1603:16:422:1:7,1603:16:422:2:51,Akkar,عكار,LB51,Akkar,عكار,LB7,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:52,52,1603:16:422:0,1603:16:422:1:5,1603:16:422:2:52,El Batroun,البترون,LB52,North,الشمال,LB5,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:53,53,1603:16:422:0,1603:16:422:1:5,1603:16:422:2:53,Bcharre, بشري,LB53,North,الشمال,LB5,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:54,54,1603:16:422:0,1603:16:422:1:5,1603:16:422:2:54,El Koura,الكورة,LB54,North,الشمال,LB5,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:55,55,1603:16:422:0,1603:16:422:1:5,1603:16:422:2:55,El Minieh-Dennie,المنية الضنية,LB55,North,الشمال,LB5,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:56,56,1603:16:422:0,1603:16:422:1:5,1603:16:422:2:56,Tripoli,طرابلس,LB56,North,الشمال,LB5,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:57,57,1603:16:422:0,1603:16:422:1:5,1603:16:422:2:57,Zgharta,زغرتا,LB57,North,الشمال,LB5,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:61,61,1603:16:422:0,1603:16:422:1:6,1603:16:422:2:61,Saida,صيدا,LB61,South,الجنوب,LB6,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:62,62,1603:16:422:0,1603:16:422:1:6,1603:16:422:2:62,Jezzine,جزين,LB62,South,الجنوب,LB6,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:63,63,1603:16:422:0,1603:16:422:1:6,1603:16:422:2:63,Sour,صور,LB63,South,الجنوب,LB6,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
