#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:16:422:2:11,11,1603:16:422:0,1603:16:422:1:1,1603:16:422:2:11,Beirut,بيروت,LB11,,,,,,Beirut,بيروت,LB1,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:21,21,1603:16:422:0,1603:16:422:1:8,1603:16:422:2:21,Baalbek,بعلبك,LB21,,,,,,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:22,22,1603:16:422:0,1603:16:422:1:8,1603:16:422:2:22,El Hermel, الهرمل,LB22,,,,,,Baalbek-El Hermel,بعلبك - الهرمل,LB8,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:23,23,1603:16:422:0,1603:16:422:1:2,1603:16:422:2:23,Rachaya,راشيا,LB23,,,,,,Bekaa,البقاع,LB2,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:24,24,1603:16:422:0,1603:16:422:1:2,1603:16:422:2:24,West Bekaa,البقاع الغربي,LB24,,,,,,Bekaa,البقاع,LB2,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:25,25,1603:16:422:0,1603:16:422:1:2,1603:16:422:2:25,Zahle,زحلة,LB25,,,,,,Bekaa,البقاع,LB2,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:31,31,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:31,Aley,عاليه,LB31,,,,,,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:32,32,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:32,Baabda,بعبدا,LB32,,,,,,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:33,33,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:33,Chouf, الشوف,LB33,,,,,,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:34,34,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:34,Jbeil,جبيل,LB34,,,,,,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:35,35,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:35,Kesrwane, كسروان,LB35,,,,,,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:36,36,1603:16:422:0,1603:16:422:1:3,1603:16:422:2:36,El Meten,المتن,LB36,,,,,,Mount Lebanon,جبل لبنان,LB3,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:41,41,1603:16:422:0,1603:16:422:1:4,1603:16:422:2:41,Bent Jbeil,بنت جبيل,LB41,,,,,,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:42,42,1603:16:422:0,1603:16:422:1:4,1603:16:422:2:42,Hasbaya,حاصبيا,LB42,,,,,,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:43,43,1603:16:422:0,1603:16:422:1:4,1603:16:422:2:43,Marjaayoun,مرجعيون,LB43,,,,,,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:44,44,1603:16:422:0,1603:16:422:1:4,1603:16:422:2:44,El Nabatieh,النبطية,LB44,,,,,,El Nabatieh,النبطية,LB4,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:51,51,1603:16:422:0,1603:16:422:1:7,1603:16:422:2:51,Akkar,عكار,LB51,,,,,,Akkar,عكار,LB7,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:52,52,1603:16:422:0,1603:16:422:1:5,1603:16:422:2:52,El Batroun,البترون,LB52,,,,,,North,الشمال,LB5,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:53,53,1603:16:422:0,1603:16:422:1:5,1603:16:422:2:53,Bcharre, بشري,LB53,,,,,,North,الشمال,LB5,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:54,54,1603:16:422:0,1603:16:422:1:5,1603:16:422:2:54,El Koura,الكورة,LB54,,,,,,North,الشمال,LB5,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:55,55,1603:16:422:0,1603:16:422:1:5,1603:16:422:2:55,El Minieh-Dennie,المنية الضنية,LB55,,,,,,North,الشمال,LB5,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:56,56,1603:16:422:0,1603:16:422:1:5,1603:16:422:2:56,Tripoli,طرابلس,LB56,,,,,,North,الشمال,LB5,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:57,57,1603:16:422:0,1603:16:422:1:5,1603:16:422:2:57,Zgharta,زغرتا,LB57,,,,,,North,الشمال,LB5,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:61,61,1603:16:422:0,1603:16:422:1:6,1603:16:422:2:61,Saida,صيدا,LB61,,,,,,South,الجنوب,LB6,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:62,62,1603:16:422:0,1603:16:422:1:6,1603:16:422:2:62,Jezzine,جزين,LB62,,,,,,South,الجنوب,LB6,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
1603:16:422:2:63,63,1603:16:422:0,1603:16:422:1:6,1603:16:422:2:63,Sour,صور,LB63,,,,,,South,الجنوب,LB6,Lebanon,لبنان,LB,2017-06-20,2021-09-28,
